,Team,Decimal
121,Brentford,6.9901
122,Brentford,6.198
123,Brentford,8.6238
124,Brentford,9.8438
125,Brentford,10.6238
126,Brentford,11.1122
127,Brentford,11.3163
128,Brentford,11.6531
129,Brentford,12.2424
130,Brentford,14.58
131,Brentford,14.65
132,Brentford,15.8687
133,Brentford,15.9899
134,Brentford,18.4242
135,Brentford,18.8687
136,Brentford,19.2323
137,Brentford,21.898
138,Brentford,22.7778
139,Brentford,25.97
140,Brentford,27.3137
141,Brentford,27.5392
142,Brentford,27.598
143,Brentford,28.8969
144,Brentford,28.9897
145,Brentford,29.8969
146,Brentford,30.5354
147,Brentford,30.5758
148,Brentford,30.6364
149,Brentford,30.9091
150,Brentford,31.5306
151,Brentford,31.6939
152,Brentford,32.1531
153,Brentford,32.9898
154,Brentford,35.134
155,Brentford,35.1443
156,Brentford,35.8454
157,Brentford,36.37
158,Brentford,36.67
159,Brentford,36.69
160,Brentford,37.8182
161,Brighton and Hove Albion,0.7778
162,Brighton and Hove Albion,0.8283
163,Brighton and Hove Albion,1.1031
164,Brighton and Hove Albion,1.4227
165,Brighton and Hove Albion,3.9412
166,Brighton and Hove Albion,4.3535
167,Brighton and Hove Albion,4.5354
168,Brighton and Hove Albion,5.98
169,Brighton and Hove Albion,8.8485
170,Brighton and Hove Albion,9.4184
171,Brighton and Hove Albion,9.6939
172,Brighton and Hove Albion,10.233
173,Brighton and Hove Albion,13.9216
174,Brighton and Hove Albion,14.9709
175,Brighton and Hove Albion,16.3469
176,Brighton and Hove Albion,16.4286
177,Brighton and Hove Albion,17.96
178,Brighton and Hove Albion,18.2121
179,Brighton and Hove Albion,18.0303
180,Brighton and Hove Albion,18.7576
181,Brighton and Hove Albion,19.9192
182,Brighton and Hove Albion,20.6458
183,Brighton and Hove Albion,21.8673
184,Brighton and Hove Albion,22.4632
185,Brighton and Hove Albion,22.8947
186,Brighton and Hove Albion,26.596
187,Brighton and Hove Albion,30.2718
188,Brighton and Hove Albion,30.699
189,Brighton and Hove Albion,31.94
190,Brighton and Hove Albion,33.0198
191,Brighton and Hove Albion,33.4356
192,Brighton and Hove Albion,34.4286
